iter	Passed	Remaining
423	2240	50612
424	2247	50630
425	2253	50639
426	2259	50651
427	2264	50634
428	2269	50642
429	2275	50637
430	2280	50634
431	2287	50667
432	2292	50644
433	2296	50625
434	2302	50636
435	2308	50632
436	2315	50660
437	2319	50646
438	2324	50627
439	2329	50618
440	2334	50594
441	2339	50587
442	2344	50584
443	2349	50564
444	2353	50529
445	2358	50516
446	2363	50510
447	2369	50514
448	2374	50504
449	2378	50483
450	2384	50482
451	2389	50480
452	2395	50481
453	2399	50460
454	2406	50475
455	2412	50496
456	2418	50508
457	2423	50485
458	2427	50468
459	2434	50482
460	2439	50472
461	2444	50470
462	2449	50464
463	2454	50447
464	2459	50436
465	2465	50436
466	2469	50417
467	2475	50420
468	2480	50411
469	2485	50398
470	2491	50399
471	2496	50391
472	2500	50368
473	2505	50359
474	2511	50355
475	2515	50340
476	2520	50324
477	2526	50325
478	2532	50332
479	2536	50314
480	2541	50299
481	2547	50307
482	2552	50297
483	2557	50287
484	2561	50251
485	2566	50246
486	2572	50255
487	2577	50245
488	2582	50237
489	2588	50229
490	2592	50212
491	2597	50204
492	2603	50202
493	2608	50202
494	2615	50219
495	2620	50213
496	2626	50214
497	2631	50211
498	2637	50212
499	2641	50181
500	2645	50160
501	2649	50138
502	2654	50123
503	2661	50145
504	2666	50140
505	2671	50124
506	2677	50128
507	2681	50106
508	2687	50107
509	2692	50093
510	2695	50053
511	2700	50042
512	2704	50023
513	2710	50026
514	2716	50033
515	2721	50028
516	2726	50007
517	2731	49996
518	2735	49975
519	2740	49964
520	2745	49951
521	2750	49945
522	2756	49944
523	2761	49940
524	2766	49937
525	2770	49908
526	2778	49935
527	2782	49913
528	2787	49902
529	2792	49904
530	2796	49869
531	2802	49884
532	2808	49890
533	2815	49910
534	2821	49924
535	2826	49904
536	2831	49891
537	2836	49893
538	2841	49878
539	2846	49873
540	2852	49876
541	2858	49873
542	2864	49880
543	2869	49876
544	2873	49857
545	2878	49847
546	2883	49837
547	2888	49828
548	2894	49823
549	2898	49808
550	2903	49791
551	2908	49781
552	2913	49776
553	2918	49766
554	2924	49767
555	2929	49767
556	2935	49762
557	2940	49761
558	2946	49766
559	2950	49743
560	2955	49734
561	2961	49727
562	2966	49719
563	2971	49720
564	2977	49724
565	2983	49721
566	2988	49713
567	2992	49684
568	2997	49689
569	3004	49701
570	3008	49687
571	3013	49673
572	3019	49672
573	3024	49661
574	3030	49673
575	3036	49673
576	3041	49665
577	3046	49664
578	3052	49663
579	3056	49648
580	3063	49666
581	3069	49666
582	3074	49654
583	3080	49661
584	3085	49657
585	3090	49655
586	3096	49659
587	3101	49653
588	3106	49632
589	3111	49618
590	3116	49618
591	3121	49612
592	3127	49607
593	3133	49613
594	3138	49607
595	3142	49590
596	3147	49578
597	3153	49579
598	3157	49555
599	3162	49542
600	3167	49531
601	3171	49516
602	3177	49517
603	3182	49511
604	3188	49510
605	3193	49503
606	3198	49500
607	3203	49488
608	3209	49493
609	3213	49471
610	3219	49468
611	3224	49458
612	3230	49472
613	3236	49474
614	3241	49459
615	3247	49471
616	3253	49478
617	3259	49477
618	3264	49467
619	3269	49462
620	3273	49445
621	3280	49456
622	3286	49467
623	3291	49462
624	3296	49449
625	3301	49432
626	3305	49416
627	3311	49419
628	3317	49419
629	3322	49416
630	3329	49435
631	3334	49432
632	3339	49422
633	3344	49408
634	3348	49391
635	3353	49374
636	3359	49377
637	3364	49375
638	3370	49375
639	3375	49360
640	3381	49370
641	3386	49367
642	3391	49358
643	3397	49358
644	3402	49345
645	3407	49337
646	3411	49319
647	3416	49312
648	3421	49297
649	3426	49293
650	3432	49295
651	3437	49288
652	3443	49283
653	3449	49295
654	3453	49271
655	3459	49277
656	3464	49274
657	3470	49276
658	3476	49275
659	3482	49279
660	3486	49260
661	3491	49243
662	3496	49234
663	3501	49225
664	3505	49214
665	3511	49219
666	3517	49212
667	3521	49200
668	3527	49203
669	3533	49204
670	3537	49183
671	3543	49184
672	3547	49164
673	3553	49173
674	3559	49166
675	3564	49161
676	3569	49151
677	3574	49144
678	3579	49134
679	3585	49138
680	3590	49132
681	3594	49113
682	3600	49117
683	3605	49108
684	3610	49097
685	3616	49098
686	3621	49089
687	3625	49074
688	3631	49068
689	3636	49063
690	3641	49059
691	3646	49042
692	3651	49033
693	3655	49015
694	3660	49014
695	3665	48993
696	3671	49009
697	3676	49000
698	3682	48998
699	3687	48985
700	3692	48981
701	3698	48985
702	3703	48974
703	3708	48970
704	3713	48966
705	3719	48959
706	3724	48949
707	3729	48945
708	3734	48938
709	3740	48945
710	3745	48935
711	3752	48947
712	3756	48934
713	3762	48938
714	3769	48947
715	3773	48930
716	3778	48916
717	3783	48908
718	3787	48891
719	3792	48885
720	3798	48886
721	3803	48875
722	3808	48864
723	3813	48857
724	3818	48844
725	3822	48831
726	3827	48826
727	3833	48824
728	3838	48816
729	3843	48808
730	3848	48802
731	3854	48808
732	3861	48818
733	3867	48820
734	3872	48809
735	3877	48802
736	3881	48789
737	3886	48775
738	3890	48749
739	3895	48746
740	3901	48748
741	3907	48749
742	3911	48733
743	3917	48735
744	3922	48726
745	3926	48710
746	3931	48693
747	3936	48694
748	3941	48684
749	3947	48685
750	3952	48682
751	3958	48682
752	3964	48678
753	3969	48680
754	3975	48679
755	3980	48675
756	3985	48668
757	3991	48666
758	3996	48656
759	4001	48652
760	4007	48656
761	4013	48655
762	4017	48638
763	4022	48630
764	4026	48608
765	4031	48594
766	4036	48592
767	4041	48587
768	4046	48573
769	4050	48555
770	4056	48554
771	4060	48540
772	4066	48539
773	4071	48534
774	4076	48522
775	4081	48514
776	4087	48521
777	4093	48517
778	4098	48512
779	4103	48503
780	4107	48490
781	4112	48479
782	4117	48467
783	4122	48463
784	4128	48467
785	4133	48454
786	4139	48453
787	4144	48452
788	4150	48448
789	4156	48458
790	4161	48452
791	4167	48447
792	4172	48446
793	4177	48439
794	4183	48435
795	4188	48426
796	4193	48427
797	4199	48430
798	4205	48430
799	4211	48428
800	4217	48435
801	4222	48429
802	4228	48432
803	4233	48427
804	4240	48435
805	4247	48449
806	4253	48455
807	4258	48450
808	4263	48432
809	4268	48429
810	4273	48421
811	4278	48413
812	4283	48399
813	4289	48402
814	4294	48402
815	4300	48404
816	4306	48402
817	4311	48399
818	4317	48395
819	4321	48375
820	4325	48356
821	4329	48343
822	4335	48340
823	4341	48349
824	4347	48347
825	4353	48346
826	4358	48343
827	4364	48350
828	4370	48349
829	4374	48334
830	4379	48327
831	4385	48322
832	4390	48311
833	4395	48303
834	4399	48293
835	4403	48267
836	4408	48256
837	4412	48247
838	4417	48231
839	4423	48236
840	4429	48235
841	4435	48237
842	4439	48221
843	4444	48212
844	4449	48203
845	4454	48196
846	4461	48215
847	4467	48219
848	4473	48219
849	4478	48207
